n_coeff,coeff_ratio,eta_total,eta_ac,eps_l2,rmse,snr_db,max_imag,strategy,basis,id
12,0.46153846153846156,0.9482047507492307,0.9482047507492307,0.2275856964986361,0.1606891546875062,12.857100726639201,0.0,magnitude,total,S2
14,0.5384615384615384,0.9591487493054502,0.9591487493054502,0.20211692332546002,0.14270667294507372,13.887946426462124,0.0,magnitude,total,S2
16,0.6153846153846154,0.9686706299143527,0.9686706299143527,0.1770010454365944,0.12497335644369759,15.040483370390614,0.0,magnitude,total,S2
18,0.6923076923076923,0.977257109199118,0.977257109199118,0.1508074626829921,0.10647911565585957,16.431543338840534,0.0,magnitude,total,S2
20,0.7692307692307693,0.9845014433082975,0.9845014433082975,0.12449319937933362,0.08789966716000615,18.09708743766149,0.0,magnitude,total,S2
22,0.8461538461538461,0.9909706300105069,0.9909706300105069,0.09502299716117815,0.06709193646444526,20.443425508638757,0.0,magnitude,total,S2
24,0.9230769230769231,0.9970326409495549,0.9970326409495549,0.05447347107028404,0.038461538461538256,25.276299008713433,0.0,magnitude,total,S2
25,0.9615384615384616,1.0,1.0,2.9547142752994373e-15,2.086205532885145e-15,290.58969019183303,0.0,magnitude,total,S2
26,1.0,1.0,1.0,2.9547142752994373e-15,2.086205532885145e-15,290.58969019183303,0.0,magnitude,total,S2
2,0.07692307692307693,0.4507771441542149,0.4507771441542149,0.7410957130126884,0.5232580320233667,2.6025139794445478,0.0,magnitude,ac,S2
4,0.15384615384615385,0.8146378501580621,0.8146378501580621,0.4305370481641943,0.30398498409838826,7.319789422140016,0.0,magnitude,ac,S2
6,0.23076923076923078,0.8750828008191192,0.8750828008191192,0.3534362731538473,0.2495472116339025,9.033777618251612,0.0,magnitude,ac,S2
8,0.3076923076923077,0.9069461422635406,0.9069461422635406,0.30504730409636416,0.21538169660517814,10.312656176011544,0.0,magnitude,ac,S2
10,0.38461538461538464,0.9327466929339424,0.9327466929339424,0.25933242578986865,0.1831042500664542,11.722863551139968,0.0,magnitude,ac,S2
12,0.46153846153846156,0.9482047507492307,0.9482047507492307,0.2275856964986361,0.1606891546875062,12.857100726639201,0.0,magnitude,ac,S2
14,0.5384615384615384,0.9591487493054502,0.9591487493054502,0.20211692332546002,0.14270667294507372,13.887946426462124,0.0,magnitude,ac,S2
16,0.6153846153846154,0.9686706299143527,0.9686706299143527,0.1770010454365944,0.12497335644369759,15.040483370390614,0.0,magnitude,ac,S2
18,0.6923076923076923,0.977257109199118,0.977257109199118,0.1508074626829921,0.10647911565585957,16.431543338840534,0.0,magnitude,ac,S2
20,0.7692307692307693,0.9845014433082975,0.9845014433082975,0.12449319937933362,0.08789966716000615,18.09708743766149,0.0,magnitude,ac,S2
22,0.8461538461538461,0.9909706300105069,0.9909706300105069,0.09502299716117815,0.06709193646444526,20.443425508638757,0.0,magnitude,ac,S2
24,0.9230769230769231,0.9970326409495549,0.9970326409495549,0.05447347107028404,0.038461538461538256,25.276299008713433,0.0,magnitude,ac,S2
25,0.9615384615384616,1.0,1.0,2.9544659655337685e-15,2.086030211294378e-15,290.5904201716725,0.0,magnitude,ac,S2
1,0.038461538461538464,0.9411764705882354,0.0,0.24253562503633297,0.8514693182963199,12.30448921378274,0.0,lowpass,total,S3
3,0.11538461538461539,0.9411764705882354,2.927168304228994e-29,0.24253562503633297,0.8514693182963199,12.30448921378274,0.0,lowpass,total,S3
5,0.19230769230769232,0.9817444219066939,0.689655172413793,0.13511320473331342,0.47434164902525666,17.386044098379056,0.0,lowpass,total,S3
7,0.2692307692307692,0.9817444219066939,0.689655172413793,0.13511320473331348,0.4743416490252568,17.386044098379053,0.0,lowpass,total,S3
9,0.34615384615384615,0.9817444219066939,0.689655172413793,0.13511320473331345,0.4743416490252567,17.386044098379053,0.0,lowpass,total,S3
11,0.4230769230769231,0.9963488843813387,0.937931034482757,0.06042446208830725,0.21213203435596487,24.37574414173921,0.0,lowpass,total,S3
13,0.5,0.9963488843813387,0.937931034482757,0.06042446208830726,0.2121320343559649,24.37574414173921,0.0,lowpass,total,S3
15,0.5769230769230769,0.9963488843813387,0.937931034482757,0.06042446208830725,0.2121320343559649,24.37574414173921,0.0,lowpass,total,S3
17,0.6538461538461539,0.9963488843813387,0.937931034482757,0.060424462088307235,0.21213203435596487,24.375744141739215,0.0,lowpass,total,S3
19,0.7307692307692307,1.0000000000000002,1.0,2.1960250856294605e-15,7.709580736200804e-15,293.1672540632347,0.0,lowpass,total,S3
21,0.8076923076923077,1.0000000000000002,1.0,2.2587457502081696e-15,7.929774043901172e-15,292.92265303095894,0.0,lowpass,total,S3
